c.fita,0x0473,True
c.izhitsa,0x0475,True
c.ghebar,0x0493,True
c.zhespike,0x0497,True
c.kaspike,0x049B,True
c.enspike,0x04A3,True
c.haspike,0x04B3,True
c.chespike,0x04B7,True
c.ustraight,0x04AF,False
c.ustraightbar,0x04B1,True
c.shha,0x04BB,False
c.palochka,0x04CF,False
c.schwa,0x04D9,False
c.imacron,0x04E3,True
c.obar,0x04E9,True
c.umacron,0x04EF,True
c.zehook,0x0499,True
c.kaBashkir,0x04A1,True
c.eshook,0x04AB,True
c.abreve,0x04D1,True
c.iebreve,0x04D7,True
c.udblacute,0x04F3,True
c.odieresis,0x04E7,True
c.aie,0x04D5,False
c.adieresis,0x04D3,True
c.chedieresis,0x04F5,True
c.chekhakassian,0x04CC,True
c.chestroke,0x04B9,True
c.enghe,0x04A5,True
c.gedescender,0x04F7,True
c.ghemiddlehook,0x0495,True
c.idieresis,0x04E5,True
c.kastroke,0x049D,True
c.qa,0x051B,False
c.udieresis,0x04F1,True
c.we,0x051D,False
c.yerudieresis,0x04F9,True
c.yusbig,0x046B,True
c.zedieresis,0x04DF,True
c.zhebreve,0x04C2,True
c.zhedieresis,0x04DD,True
c.be.SRB,,False
c.ve.BGR,,True
c.ghe.BGR,,True
c.de.BGR,,True
c.zhe.BGR,,True
c.ze.BGR,,True
c.i.BGR,,False
c.ishort.BGR,,True
c.igrave.BGR,,True
c.ka.BGR,,True
c.el.BGR,,True
c.pe.BGR,,False
c.te.BGR,,False
c.tse.BGR,,True
c.sha.BGR,,True
c.shcha.BGR,,True
c.yu.BGR,,True
c.hookcomb,,False
numero,0x2116,True
hryvnia,0x20B4,True
Alpha,0x0391,True
Beta,0x0392,False
Gamma,0x0393,True
Delta,0x0394,True
Epsilon,0x0395,True
Zeta,0x0396,False
Eta,0x0397,True
Theta,0x0398,True
Iota,0x0399,True
Kappa,0x039A,False
Lambda,0x039B,True
Mu,0x039C,False
Nu,0x039D,False
Xi,0x039E,True
Omicron,0x039F,True
Pi,0x03A0,True
Rho,0x03A1,False
Sigma,0x03A3,True
Tau,0x03A4,False
Upsilon,0x03A5,True
Phi,0x03A6,True
Chi,0x03A7,False
Psi,0x03A8,True
Omega,0x03A9,True
Alphatonos,0x0386,True
Epsilontonos,0x0388,True
Etatonos,0x0389,True
Iotatonos,0x038A,True
Iotadieresis,0x03AA,True
Omicrontonos,0x038C,True
Upsilontonos,0x038E,True
Upsilondieresis,0x03AB,True
Omegatonos,0x038F,True
alpha,0x03B1,True
beta,0x03B2,True
gamma,0x03B3,True
delta,0x03B4,True
epsilon,0x03B5,True
zeta,0x03B6,True
eta,0x03B7,True
theta,0x03B8,True
iota,0x03B9,True
kappa,0x03BA,True
lambda,0x03BB,True
mu,0x03BC,True
nu,0x03BD,True
xi,0x03BE,True
omicron,0x03BF,True
pi,0x03C0,True
rho,0x03C1,True
sigmafinal,0x03C2,True
sigma,0x03C3,True
tau,0x03C4,True
upsilon,0x03C5,True
phi,0x03C6,True
chi,0x03C7,True
psi,0x03C8,True
omega,0x03C9,True
alphatonos,0x03AC,True
epsilontonos,0x03AD,True
etatonos,0x03AE,True
iotatonos,0x03AF,True
iotadieresis,0x03CA,True
iotadieresistonos,0x0390,True
omicrontonos,0x03CC,True
upsilontonos,0x03CD,True
upsilondieresis,0x03CB,True
upsilondieresistonos,0x03B0,True
omegatonos,0x03CE,True
tonos,0x0384,False
tonoscomb,,False
tonoscomb.case,,False
dieresistonos,0x0385,False
dieresistonoscomb,0x0344,False
